 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 1.000000e+01 2.137714e+00 -4.565604e-02 1.000000e+01
 2.000000e+01 1.507585e+00 1.655356e-02 1.000000e+01
 3.000000e+01 1.180573e+00 -2.371190e-03 1.000000e+01
 4.000000e+01 9.924834e-01 1.266544e-03 1.000000e+01
 5.000000e+01 8.543941e-01 3.050337e-04 1.000000e+01
 6.000000e+01 7.622507e-01 2.700755e-04 1.000000e+01
 7.000000e+01 6.948205e-01 9.745627e-05 1.000000e+01
 8.000000e+01 6.407858e-01 1.438294e-04 1.000000e+01
 9.000000e+01 5.979640e-01 0.000000e+00 1.000000e+01
