0;-0.564
1;-1.494
2;-2.132
3;-2.389
4;-2.242
5;-1.727
6;-0.956
7;-0.073
8;0.76
9;1.372
10;1.691
11;1.642
12;1.286
13;0.686
14;-0.049
15;-0.772
16;-1.347
17;-1.691
18;-1.715
19;-1.47
20;-1.004
21;-0.404
22;0.233
23;0.747
24;1.078
25;1.164
26;1.004
27;0.637
28;0.147
29;-0.392
30;-0.858
31;-1.176
32;-1.299
33;-1.188
34;-0.907
35;-0.49
36;-0.037
37;0.367
38;0.662
39;0.784
40;0.711
41;0.478
42;0.135
43;-0.257
44;-0.613
45;-0.858
46;-0.968
47;-0.931
48;-0.735
49;-0.453
50;-0.123
51;0.184
52;0.416
53;0.515
54;0.49
55;0.343
56;0.098
57;-0.184
58;-0.441
59;-0.649
60;-0.747
61;-0.735
62;-0.613
63;-0.404
64;-0.171
65;0.073
66;0.245
67;0.331
68;0.319
69;0.221
70;0.049
71;-0.159
72;-0.355
73;-0.515
74;-0.588
75;-0.588
76;-0.49
77;-0.355
78;-0.171
79;0
80;0.123
81;0.196
82;0.196
83;0.11
84;-0.025
85;-0.171
86;-0.319
87;-0.416
88;-0.478
89;-0.465
90;-0.392
91;-0.294
92;-0.159
93;-0.025
94;0.061
95;0.098
96;0.098
97;0.025
98;-0.073
99;-0.171
100;-0.282
101;-0.367
102;-0.392
103;-0.392
104;-0.343
105;-0.245
106;-0.147
107;-0.061
108;0
109;0.037
110;0.025
111;-0.025
112;-0.098
113;-0.184
114;-0.257
115;-0.319
116;-0.343
117;-0.319
118;-0.257
119;-0.221
120;-0.147
121;-0.073
122;-0.025
123;-0.012
124;-0.025
125;-0.073
126;-0.123
127;-0.196
128;-0.245
129;-0.282
130;-0.294
131;-0.282
132;-0.245
133;-0.196
134;-0.135
135;-0.086
136;-0.061
137;-0.049
138;-0.073
139;-0.098
140;-0.147
141;-0.196
142;-0.245
143;-0.257
144;-0.27
145;-0.245
146;-0.221
147;-0.171
148;-0.135
149;-0.098
150;-0.073
151;-0.073
152;-0.098
153;-0.123
154;-0.159
155;-0.196
156;-0.221
157;-0.245
158;-0.245
159;-0.221
160;-0.196
161;-0.171
162;-0.123
163;-0.11
164;-0.098
165;-0.098
166;-0.123
167;-0.147
168;-0.171
169;-0.196
170;-0.221
171;-0.221
172;-0.208
173;-0.196
174;-0.171
175;-0.147
176;-0.135
177;-0.123
178;-0.123
179;-0.123
180;-0.123
181;-0.147
182;-0.171
183;-0.196
184;-0.196
185;-0.208
186;-0.196
187;-0.196
188;-0.171
189;-0.147
190;-0.147
191;-0.123
192;-0.123
193;-0.123
194;-0.147
195;-0.159
196;-0.171
197;-0.196
198;-0.196
199;-0.196
